SUBGROEPID,SUBGROEPCODE
5770761,GRAD-ACA1-GENT/DAG/1A
5770762,GRAD-ACA1-GENT/DAG/1A
5770764,GRAD-ACA1-GENT/DAG/1A
5770765,GRAD-ACA1-GENT/DAG/1A
5770767,GRAD-ACA1-GENT/DAG/1A
5770768,GRAD-ACA1-GENT/DAG/1A
5770770,GRAD-ACA1-GENT/DAG/1A
5770833,GRAD-ACA2-AALST/DAG/1A
5770834,GRAD-ACA2-AALST/DAG/1A
5770836,GRAD-ACA2-AALST/DAG/1A
5770837,GRAD-ACA2-AALST/DAG/1A
5770838,GRAD-ACA2-AALST/DAG/1A
5770841,GRAD-ACA2-AALST/DAG/1A
5770842,GRAD-ACA2-AALST/DAG/1A
5770904,PGD-SAL/1
5770930,GRAD-ACA1-GENT/AV-WE/1A
5770931,GRAD-ACA1-GENT/AV-WE/1A
5770936,GRAD-ACA1-GENT/AV-WE/1A
5770971,GRAD-ACA1-GENT/AV-WE/2A
5770974,GRAD-ACA1-GENT/AV-WE/2A
5771019,PBA-VG-VG/2A2
5771020,PBA-VG-VG/2A2
5771021,PBA-VG-VG/2A2
5771125,PBA-VG-VG/2A2
5771127,PBA-VG-VG/2A2
5771128,PBA-VG-VG/2A2
5771129,PBA-VG-VG/2A2
5771216,PBA-VG-VG/2C2
5771219,PBA-VG-VG/2C2
5771221,PBA-VG-VG/2C2
5771222,PBA-VG-VG/2C2
5771223,PBA-VG-VG/2C2
5771226,PBA-VG-VG/2C2
5771227,PBA-VG-VG/2C2
5771228,PBA-VG-VG/2C2
5771229,PBA-VG-VG/2C2
5771230,PBA-VG-VG/2C2
5771334,PBA-VG-VG/2C2
5771335,PBA-VG-VG/2C2
5771336,PBA-VG-VG/2C2
5771337,PBA-VG-VG/2C2
5771338,PBA-VG-VG/2C2
5771425,PBA-VG-VG/2D2
5771428,PBA-VG-VG/2D2
5771430,PBA-VG-VG/2D2
5771431,PBA-VG-VG/2D2
5771435,PBA-VG-VG/2D2
5771436,PBA-VG-VG/2D2
5771437,PBA-VG-VG/2D2
5771438,PBA-VG-VG/2D2
5771439,PBA-VG-VG/2D2
5771543,PBA-VG-VG/2D2
5771544,PBA-VG-VG/2D2
5771545,PBA-VG-VG/2D2
5771546,PBA-VG-VG/2D2
5771547,PBA-VG-VG/2D2
5771655,PBA-VG-VG/2B1
5771656,PBA-VG-VG/2B1
5771657,PBA-VG-VG/2B1
5771658,PBA-VG-VG/2B1
5771746,PBA-VG-VG/2C1
5771749,PBA-VG-VG/2C1
5771752,PBA-VG-VG/2C1
5771753,PBA-VG-VG/2C1
5771756,PBA-VG-VG/2C1
