LessonType,ClassName,SessionCount,ValidAttendanceRates,ExpectedStudentsSum,PresentStudentsSum,WeightedAttendanceRate,MeanAttendanceRate,MedianAttendanceRate,StandardDeviation,Variance,Minimum,Percentile10,Quartile1,Quartile3,Percentile90,Maximum,InterquartileRange,CoefficientOfVariation,MeanExpectedStudents,MedianExpectedStudents,MeanPresentStudents,MedianPresentStudents
Gewoon vak,Data Science,64.0,64.0,5441.0,798.0,0.14666421613673958,0.15307017566340395,0.1455026455026455,0.10520612257934221,0.01106832822817958,0.0,0.009588744588744594,0.06578947368421052,0.2249216300940439,0.3080308529945554,0.3560606060606061,0.15913215640983336,0.6873064731478904,85.015625,70.0,12.46875,12.0
Gewoon vak,Enterprise Web Development: Java,36.0,36.0,1426.0,234.0,0.1640953716690042,0.13567617866004963,0.14516129032258066,0.10748799044671078,0.01155366809027219,0.0,0.0,0.057692307692307696,0.18548387096774194,0.31,0.36538461538461536,0.12779156327543423,0.7922392236299107,39.611111111111114,52.0,6.5,5.5
Gewoon vak,Advanced Software Development II,37.0,37.0,1440.0,221.0,0.15347222222222223,0.1421406988177174,0.14285714285714285,0.09627896947580093,0.009269639963322208,0.0,0.0,0.0625,0.21739130434782608,0.2826086956521739,0.30434782608695654,0.15489130434782608,0.677349768761655,38.91891891891892,46.0,5.972972972972973,6.0
Gewoon vak,The IT Professional,9.0,9.0,2115.0,397.0,0.18770685579196217,0.18770685579196217,0.14042553191489363,0.18717896245495913,0.035035963985715,0.0,0.0034042553191489366,0.02127659574468085,0.32340425531914896,0.4229787234042553,0.46382978723404256,0.30212765957446813,0.9971876715169737,235.0,235.0,44.111111111111114,33.0
Gewoon vak,Machine Learning,29.0,29.0,1682.0,203.0,0.1206896551724138,0.12068965517241383,0.1206896551724138,0.10697994522405911,0.011444708680142688,0.0,0.0,0.017241379310344827,0.1724137931034483,0.2655172413793103,0.3620689655172414,0.15517241379310345,0.8864052604279181,58.0,58.0,7.0,7.0
Gewoon vak,Research Methods (English taught),19.0,19.0,912.0,108.0,0.11842105263157894,0.11842105263157894,0.10416666666666667,0.06911471427774701,0.004776843729694607,0.0,0.058333333333333334,0.0625,0.17708333333333331,0.20833333333333334,0.25,0.11458333333333331,0.5836353650120859,48.0,48.0,5.684210526315789,5.0
Gewoon vak,Machine Learning Operations,27.0,27.0,1695.0,158.0,0.09321533923303835,0.1067751422772404,0.09859154929577464,0.08210463774858082,0.006741171539825682,0.0,0.010619469026548674,0.04767543312975196,0.16666666666666666,0.18604963112005368,0.38095238095238093,0.1189912335369147,0.7689489894136323,62.77777777777778,71.0,5.851851851851852,5.0
Gewoon vak,Big Data Processing,26.0,26.0,1976.0,237.0,0.11993927125506072,0.12076160667709963,0.09250565119109719,0.07888578514110257,0.0062229670973282004,0.0,0.06172839506172839,0.07133541992696922,0.15140845070422534,0.22839506172839505,0.3380281690140845,0.08007303077725612,0.6532356376479207,76.0,76.0,9.115384615384615,7.0
Gewoon vak,Trends in Artificial Intelligence,26.0,26.0,1465.0,166.0,0.11331058020477816,0.1024975024975025,0.08571428571428572,0.0957077179874063,0.009159967282356893,0.0,0.006666666666666667,0.05714285714285714,0.13,0.2142857142857143,0.43636363636363634,0.07285714285714287,0.9337565858225506,56.34615384615385,55.0,6.384615384615385,3.0
Gewoon vak,Business Processes Advanced & Business Intelligence,4.0,4.0,48.0,4.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.09622504486493763,0.009259259259259259,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.1547005383792517,12.0,12.0,1.0,1.0
Gewoon vak,Business analysis,37.0,37.0,4992.0,496.0,0.09935897435897435,0.09147953450279032,0.06666666666666667,0.09432681503506887,0.008897548034660096,0.0,0.0,0.015151515151515152,0.13636363636363635,0.21968992248062014,0.36363636363636365,0.1212121212121212,1.0311247816001041,134.9189189189189,165.0,13.405405405405405,9.0
Gewoon vak,Computer Networks III,15.0,15.0,690.0,69.0,0.1,0.1,0.06521739130434782,0.10223006254170337,0.010450985687280584,0.0,0.0,0.021739130434782608,0.18478260869565216,0.25217391304347825,0.2826086956521739,0.16304347826086957,1.0223006254170337,46.0,46.0,4.6,3.0
Gewoon vak,The IT Professional & Career Orientation,3.0,3.0,747.0,46.0,0.06157965194109773,0.06157965194109771,0.0642570281124498,0.012269278969091937,0.0001505352064214017,0.04819277108433735,0.05140562248995984,0.05622489959839357,0.0682730923694779,0.07068273092369477,0.07228915662650602,0.012048192771084328,0.1992424215198191,249.0,249.0,15.333333333333334,16.0
Gewoon vak,Discover the Mainframe,17.0,17.0,782.0,48.0,0.061381074168797956,0.061381074168797956,0.0,0.13361947593839021,0.01785416435005004,0.0,0.0,0.0,0.0,0.32608695652173914,0.3695652173913043,0.0,2.1768839621629406,46.0,46.0,2.823529411764706,0.0
Gewoon vak,Software Development in ERP II,11.0,11.0,88.0,8.0,0.09090909090909091,0.09090909090909091,0.0,0.12613124477737825,0.015909090909090907,0.0,0.0,0.0,0.25,0.25,0.25,0.25,1.3874436925511606,8.0,8.0,0.7272727272727273,0.0
Groepswerk,DevOps Project: Operations,11.0,11.0,891.0,417.0,0.468013468013468,0.468013468013468,0.48148148148148145,0.03333541166568148,0.0011112496709204528,0.38271604938271603,0.43209876543209874,0.4691358024691358,0.48765432098765427,0.49382716049382713,0.49382716049382713,0.01851851851851849,0.07122746233602445,81.0,81.0,37.90909090909091,39.0
Groepswerk,Software Development Project II,5.0,5.0,465.0,141.0,0.3032258064516129,0.3032258064516129,0.3655913978494624,0.14868289047263317,0.02210660191929703,0.043010752688172046,0.15483870967741936,0.3225806451612903,0.3763440860215054,0.3956989247311828,0.40860215053763443,0.05376344086021506,0.49033719198421577,93.0,93.0,28.2,34.0
Groepswerk,Data Engineering Project I,24.0,24.0,1680.0,445.0,0.2648809523809524,0.2648809523809524,0.33571428571428574,0.19267781709586643,0.037124741200828155,0.0,0.004285714285714289,0.049999999999999996,0.42857142857142855,0.4771428571428571,0.5,0.37857142857142856,0.7274128825192261,70.0,70.0,18.541666666666668,23.5
Groepswerk,System Engineering Project,25.0,25.0,2520.0,692.0,0.2746031746031746,0.27373333333333333,0.32,0.11421762852846608,0.013045666666666669,0.02,0.08000000000000004,0.24,0.34,0.382,0.43,0.10000000000000003,0.417258750103992,100.8,100.0,27.68,32.0
Groepswerk,System Engineering Lab,36.0,36.0,13857.0,2994.0,0.21606408313487768,0.2157920193102539,0.23984142034601696,0.11160382143615241,0.012455412959152591,0.007874015748031496,0.037566449297679466,0.13682864450127877,0.31092796584570154,0.3432715092199153,0.37595907928388744,0.17409932134442277,0.5171823397031869,384.9166666666667,382.0,83.16666666666667,91.5
Groepswerk,Software Development Project I,36.0,36.0,12117.0,2611.0,0.21548238012709417,0.2150089605310742,0.20539551527575478,0.12018324214772144,0.014444011693137849,0.011976047904191617,0.03592814371257485,0.13230994152046782,0.3333333333333333,0.36381622719473333,0.3888888888888889,0.2010233918128655,0.5589685278737577,336.5833333333333,334.0,72.52777777777777,68.5
Groepswerk,Business Software Project,12.0,12.0,96.0,17.0,0.17708333333333334,0.17708333333333334,0.125,0.18042195912175804,0.03255208333333333,0.0,0.0,0.0,0.375,0.375,0.375,0.375,1.0188534162169864,8.0,8.0,1.4166666666666667,1.0
Groepswerk,Data Engineering Project II,3.0,3.0,177.0,32.0,0.1807909604519774,0.1807909604519774,0.0847457627118644,0.2434628409764434,0.059274154936320975,0.0,0.01694915254237288,0.0423728813559322,0.2711864406779661,0.38305084745762713,0.4576271186440678,0.2288135593220339,1.3466538391509526,59.0,59.0,10.666666666666666,5.0
